Modelo,MAE Treino,MAE Teste,RMSE Treino,RMSE Teste,R² Treino,R² Teste
RandomForestRegressor,14409.724736114413,32581.612425537296,23446.430914941444,50389.583058836906,0.9588761158881218,0.806235295773695
KNeighborsRegressor,0.0,40580.19532546649,0.0,60344.89607162036,1.0,0.72210916268423
DecisionTreeRegressor,33181.17521811714,43089.67838908035,48659.60136384907,63873.5060530759,0.8228758679632282,0.6886601936298464
SVR,62550.56290749459,62090.590006403974,86761.8549741922,86712.11950865255,0.4368834401866709,0.42621030574924934
